text,label,text_clean
I love this product,positive,i love this product
"Absolutely fantastic, highly recommend",positive,absolutely fantastic highly recommend
Works great and arrived quickly,positive,works great and arrived quickly
Exceeded my expectations,positive,exceeded my expectations
Very satisfied with the purchase,positive,very satisfied with the purchase
Excellent quality,positive,excellent quality
Five stars,positive,five stars
Would buy again,positive,would buy again
Great value for money,positive,great value for money
Superb craftsmanship,positive,superb craftsmanship
"It's okay, not great",neutral,it's okay not great
Average product,neutral,average product
Neither good nor bad,neutral,neither good nor bad
Works as expected,neutral,works as expected
Not much to say,neutral,not much to say
Decent for the price,neutral,decent for the price
Neutral feelings about this,neutral,neutral feelings about this
Fairly ordinary item,neutral,fairly ordinary item
"Meh, it's fine",neutral,meh it's fine
Nothing special,neutral,nothing special
"Terrible experience, do not buy",negative,terrible experience do not buy
Broke after first use,negative,broke after first use
Very disappointed,negative,very disappointed
Poor quality and bad service,negative,poor quality and bad service
Not worth the money,negative,not worth the money
Would not recommend,negative,would not recommend
Awful product,negative,awful product
Stopped working quickly,negative,stopped working quickly
Bad customer support,negative,bad customer support
Regret this purchase,negative,regret this purchase
I love this product,positive,i love this product
"Absolutely fantastic, highly recommend",positive,absolutely fantastic highly recommend
Works great and arrived quickly,positive,works great and arrived quickly
Exceeded my expectations,positive,exceeded my expectations
Very satisfied with the purchase,positive,very satisfied with the purchase
Excellent quality,positive,excellent quality
Five stars,positive,five stars
Would buy again,positive,would buy again
Great value for money,positive,great value for money
Superb craftsmanship,positive,superb craftsmanship
"It's okay, not great",neutral,it's okay not great
Average product,neutral,average product
Neither good nor bad,neutral,neither good nor bad
Works as expected,neutral,works as expected
Not much to say,neutral,not much to say
Decent for the price,neutral,decent for the price
Neutral feelings about this,neutral,neutral feelings about this
Fairly ordinary item,neutral,fairly ordinary item
"Meh, it's fine",neutral,meh it's fine
Nothing special,neutral,nothing special
"Terrible experience, do not buy",negative,terrible experience do not buy
Broke after first use,negative,broke after first use
Very disappointed,negative,very disappointed
Poor quality and bad service,negative,poor quality and bad service
Not worth the money,negative,not worth the money
Would not recommend,negative,would not recommend
Awful product,negative,awful product
Stopped working quickly,negative,stopped working quickly
Bad customer support,negative,bad customer support
Regret this purchase,negative,regret this purchase
I love this product,positive,i love this product
"Absolutely fantastic, highly recommend",positive,absolutely fantastic highly recommend
Works great and arrived quickly,positive,works great and arrived quickly
Exceeded my expectations,positive,exceeded my expectations
Very satisfied with the purchase,positive,very satisfied with the purchase
Excellent quality,positive,excellent quality
Five stars,positive,five stars
Would buy again,positive,would buy again
Great value for money,positive,great value for money
Superb craftsmanship,positive,superb craftsmanship
"It's okay, not great",neutral,it's okay not great
Average product,neutral,average product
Neither good nor bad,neutral,neither good nor bad
Works as expected,neutral,works as expected
Not much to say,neutral,not much to say
Decent for the price,neutral,decent for the price
Neutral feelings about this,neutral,neutral feelings about this
Fairly ordinary item,neutral,fairly ordinary item
"Meh, it's fine",neutral,meh it's fine
Nothing special,neutral,nothing special
"Terrible experience, do not buy",negative,terrible experience do not buy
Broke after first use,negative,broke after first use
Very disappointed,negative,very disappointed
Poor quality and bad service,negative,poor quality and bad service
Not worth the money,negative,not worth the money
Would not recommend,negative,would not recommend
Awful product,negative,awful product
Stopped working quickly,negative,stopped working quickly
Bad customer support,negative,bad customer support
Regret this purchase,negative,regret this purchase
I love this product,positive,i love this product
"Absolutely fantastic, highly recommend",positive,absolutely fantastic highly recommend
Works great and arrived quickly,positive,works great and arrived quickly
Exceeded my expectations,positive,exceeded my expectations
Very satisfied with the purchase,positive,very satisfied with the purchase
Excellent quality,positive,excellent quality
Five stars,positive,five stars
Would buy again,positive,would buy again
Great value for money,positive,great value for money
Superb craftsmanship,positive,superb craftsmanship
"It's okay, not great",neutral,it's okay not great
Average product,neutral,average product
Neither good nor bad,neutral,neither good nor bad
Works as expected,neutral,works as expected
Not much to say,neutral,not much to say
Decent for the price,neutral,decent for the price
Neutral feelings about this,neutral,neutral feelings about this
Fairly ordinary item,neutral,fairly ordinary item
"Meh, it's fine",neutral,meh it's fine
Nothing special,neutral,nothing special
"Terrible experience, do not buy",negative,terrible experience do not buy
Broke after first use,negative,broke after first use
Very disappointed,negative,very disappointed
Poor quality and bad service,negative,poor quality and bad service
Not worth the money,negative,not worth the money
Would not recommend,negative,would not recommend
Awful product,negative,awful product
Stopped working quickly,negative,stopped working quickly
Bad customer support,negative,bad customer support
Regret this purchase,negative,regret this purchase
I love this product,positive,i love this product
"Absolutely fantastic, highly recommend",positive,absolutely fantastic highly recommend
Works great and arrived quickly,positive,works great and arrived quickly
Exceeded my expectations,positive,exceeded my expectations
Very satisfied with the purchase,positive,very satisfied with the purchase
Excellent quality,positive,excellent quality
Five stars,positive,five stars
Would buy again,positive,would buy again
Great value for money,positive,great value for money
Superb craftsmanship,positive,superb craftsmanship
"It's okay, not great",neutral,it's okay not great
Average product,neutral,average product
Neither good nor bad,neutral,neither good nor bad
Works as expected,neutral,works as expected
Not much to say,neutral,not much to say
Decent for the price,neutral,decent for the price
Neutral feelings about this,neutral,neutral feelings about this
Fairly ordinary item,neutral,fairly ordinary item
"Meh, it's fine",neutral,meh it's fine
Nothing special,neutral,nothing special
"Terrible experience, do not buy",negative,terrible experience do not buy
Broke after first use,negative,broke after first use
Very disappointed,negative,very disappointed
Poor quality and bad service,negative,poor quality and bad service
Not worth the money,negative,not worth the money
Would not recommend,negative,would not recommend
Awful product,negative,awful product
